t,c,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,c,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
t,c,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?
t,c,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,c,t,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?
t,c,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?
t,c,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
t,c,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?
?,c,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t
?,c,t,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?
t,c,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
t,c,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?
?,c,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?
t,c,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?
?,c,t,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,?
t,c,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?
t,c,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?
t,c,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?
?,c,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t
t,c,t,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?
t,c,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?
?,c,t,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?
?,t,c,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?
?,c,t,?,t,t,?,?,?,?,?,?,?,?,?,?,?,t,?
t,c,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?
?,c,t,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?
?,c,t,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?
?,c,t,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?
t,c,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?
?,c,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?
?,c,t,?,t,t,t,?,?,?,?,?,?,?,?,?,?,?,?
?,t,c,?,t,t,t,?,?,?,?,?,?,?,?,?,?,?,?
?,c,t,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?
t,c,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,c,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?
t,c,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?
?,c,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?
?,c,t,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?
t,c,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t
t,c,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?
t,c,t,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?
t,c,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?
t,c,t,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?
?,c,t,t,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?
?,t,c,t,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?
?,c,t,t,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?
?,c,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,t
?,c,t,?,t,t,?,?,?,?,?,?,?,?,?,?,t,?,?
?,c,t,?,t,?,t,?,?,?,?,?,?,?,?,?,?,t,?
t,c,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t
?,c,t,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?
t,c,t,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?
?,c,t,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t,?
?,c,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,t
t,c,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?
t,c,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?
?,t,c,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?
t,c,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t
?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,c,t
?,c,t,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?
?,c,t,?,?,?,t,?,?,?,?,?,?,?,?,?,t,?,?
t,c,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?
?,c,t,t,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?
?,t,c,t,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?
t,c,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?
